ip_away,h_away,r_away,er_away,bb_away,k_away,hr_away,era_away,p_away,s_away,name_away,personId_away,note_away,game_id,ip_home,h_home,r_home,er_home,bb_home,k_home,hr_home,era_home,p_home,s_home,name_home,personId_home,note_home,namefield_away,namefield_home
1.0,1,2,1,1,0,1,4.67,17,9,Alzolay,640470.0,"(S, 4)",745499,0.1,0,0,0,0,0,0,7.20,6,3,Nicolas,693312.0,,"Alzolay  (S, 4)",Nicolas
IP,H,R,ER,BB,K,HR,ERA,P,S,Braves Pitchers,0.0,,745825,IP,H,R,ER,BB,K,HR,ERA,P,S,Braves Pitchers,0.0,,Braves Pitchers,Mets Pitchers
IP,H,R,ER,BB,K,HR,ERA,P,S,Braves Pitchers,0.0,,745825,5.0,4,2,2,3,4,1,3.00,94,55,"Severino, L",622663.0,,Braves Pitchers,"Severino, L"
IP,H,R,ER,BB,K,HR,ERA,P,S,Braves Pitchers,0.0,,745825,2.0,1,0,0,1,3,0,0.43,27,18,"Garrett, R",657585.0,,Braves Pitchers,"Garrett, R"
IP,H,R,ER,BB,K,HR,ERA,P,S,Braves Pitchers,0.0,,745825,0.1,1,1,1,1,0,0,3.68,14,7,Ottavino,493603.0,,Braves Pitchers,Ottavino
IP,H,R,ER,BB,K,HR,ERA,P,S,Braves Pitchers,0.0,,745825,0.2,0,0,0,1,0,0,3.65,11,4,Diekman,518617.0,,Braves Pitchers,Diekman
IP,H,R,ER,BB,K,HR,ERA,P,S,Braves Pitchers,0.0,,745825,1.0,0,0,0,0,1,0,2.30,14,11,Díaz,621242.0,"(W, 1-1)",Braves Pitchers,"Díaz  (W, 1-1)"
5.1,7,2,2,0,6,0,4.79,85,56,Elder,693821.0,,745825,IP,H,R,ER,BB,K,HR,ERA,P,S,Braves Pitchers,0.0,,Elder,Mets Pitchers
5.1,7,2,2,0,6,0,4.79,85,56,Elder,693821.0,,745825,5.0,4,2,2,3,4,1,3.00,94,55,"Severino, L",622663.0,,Elder,"Severino, L"
5.1,7,2,2,0,6,0,4.79,85,56,Elder,693821.0,,745825,2.0,1,0,0,1,3,0,0.43,27,18,"Garrett, R",657585.0,,Elder,"Garrett, R"
